"FileName","FilePath","Hash"
"69fe178f-26e7-43a9-aa7d-2b616b672dde_eventlogservice.dll","C:\Windows\system32\69fe178f-26e7-43a9-aa7d-2b616b672dde_eventlogservice.dll","F1A674EF9154775BF524C41D3364C867FEBA50162791DCA851597147D92D172D"
"6bea57fb-8dfb-4177-9ae8-42e8b3529933_RuntimeDeviceInstall.dll","C:\Windows\system32\6bea57fb-8dfb-4177-9ae8-42e8b3529933_RuntimeDeviceInstall.dll","CA4CDFBA21F63483B8CDCC74B97143D5BA1D970F9CE7E58DE4B2D7957967C005"
"@AdvancedKeySettingsNotification.png","C:\Windows\system32\@AdvancedKeySettingsNotification.png","AA24A85644ECCCAD7098327899A3C827A6BE2AE1474C7958C1500DCD55EE66D8"
"@AppHelpToast.png","C:\Windows\system32\@AppHelpToast.png","89EC548C14582B2BDC7739BC0FA007EA5FD648E1690564638FDC6264103098A7"
"@AudioToastIcon.png","C:\Windows\system32\@AudioToastIcon.png","0B99B2576F1FA0689FF6E03462076F4CA2C36D3B198511F7497FB9C89615C445"
"@BackgroundAccessToastIcon.png","C:\Windows\system32\@BackgroundAccessToastIcon.png","66071DBDE879F56F5B4D8EE204FDA2AADCF7E759E3A3C812F33FE3F0B37FB74C"
"@bitlockertoastimage.png","C:\Windows\system32\@bitlockertoastimage.png","F3B178AD338023AA3CBCB071CC006616E916B5EE31295C19F79C38E0547B4BF6"
"@edptoastimage.png","C:\Windows\system32\@edptoastimage.png","383D8CBFCD078B3D661655A816676F86AD6C6C5D61A67767E0AFF47C292BD42E"
"@EnrollmentToastIcon.png","C:\Windows\system32\@EnrollmentToastIcon.png","1170EBA51C0737181FEE01DF67D3DF68305BD0BDF15779195C2CFA03CA78456E"
"@language_notification_icon.png","C:\Windows\system32\@language_notification_icon.png","C08B1B157991539AABAF7936F8BB618A6C5CEA0E2CFAFD7B0723BC7E9461E091"
"@optionalfeatures.png","C:\Windows\system32\@optionalfeatures.png","377620233BA4FD20ED1694619307BAB09214D514E521F96D89C077B98B1FAB76"
"@StorageSenseToastIcon.png","C:\Windows\system32\@StorageSenseToastIcon.png","6B05FB9F09FDB608DCCE58226B9B7E246A30873906AF8A5FEAC124C371BDA37E"
