"Policy", "Value", "Lock"
"app.update.enabled", "true", "1"
"app.update.auto", "true", "1"
"app.update.staging.enabled", "true", "1"
"browser.search.update", "true", "1"
"app.update.interval", "43200", "1"
"app.update.promptWaitTime, "172800", "1"
"Network.dns.disablePrefetch", "true", "1"
"network.auth.force-generic-ntlm-v1", "false", "1"
"media.peerconnection", "false", "1"
"media.peerconnection.use_document_iceservers", "false", "1"
"network.IDN_show_punycode", "true", "1"
"security.fileuri.strict_origin_policy", "true", "1"
"security.ocsp.require", "true", "1"
"security.OCSP.enabled", "1", "1"
"security.tls.version.max", "3", "1"
"security.tls.version.min", "3", "1"
"browser.ssl_override_behavior", "0", "1"
"privacy.popups.policy, "1", "1"
"dom.allow_scripts_to_close_windows", "false", "1"
"browser.urlbar.filter.javascript", "true", "1"
"dom.disable_window_move_resize", "false", "1"
"dom.disable_window_flip", "false", "1"
"browser.urlbar.suggest.history", "false", "1"
"browser.newtabpage.activity-stream.feeds.topsites", "false", "1"
"browser.newtabpage.activity-stream.feeds.snippets", "false", "1"
"browser.newtabpage.activity-stream.feeds.section.topstories", "false", "1"
"browser.newtabpage.activity-stream.section.highlights.includePocket", "false", "1"
"browser.newtabpage.activity-stream.feeds.section.highlights", "false", "1"
"identity.faxaccounts.enabled", "false", "1"
"app.shield.optoutstudies.enabled", "true", "1"
"browser.formfill.enable", "false", "1"
"geo.enabled", "false", "1"
"extensions.pocket.enabled", "false", "1"
"app.normandy.enabled", "false", "1"
"signon.rememberSignons", "false", "1"
"network.cookie.cookieBehavior", "1", "1"
"browser.contentblocking.category", "true", "1"
"privacy.donottrackheader.enabled", "true", "1"
"privacy.trackingprotection.enabled", "true", "1"
"privacy.trackingprotection.pbmode", "true", "1"
"security.disalog_enabled_delay", "2000", "1"
"Privacy.sanitize.SanitizeOnShutdown", "false", "1"
"xpinstall.whitelist.required", "true", "1"
"devtools.application.enabled", "false", "1"
"media.eme.enabled", "false", "1"
"privacy.popups.disable_from_plugins", "2", "1"
"extensions.htmlaboutaddons.recommendations.enabled", "false", "1"
"extensions.update.autoUpdateDefault", "true", "1"
"extensions.blocklist.enabled", "true", "1"
"extensions.update.enabled, "true", "1"
"network.protocol-handler.warn-external-default", "true", "1"
"extensions.update.interval", "86400", "1"
"browser.safebrowsing.malware.enabled", "true", "1"
"browser.safebrowsing.phishing.enabled", "true", "1"
"privacy.trackingprotection.cryptomining.enabled", "true", "1"
