"Name","DisplayName","Status","ServiceType","StartType","ProcessId","Description","DependentServices","ServicesDependedOn","MachineName","CanPauseAndContinue","CanShutdown","CanStop","Site","RequiredServices","CanHandlePowerEvent","CanHandleSessionChangeEvent","CanHandleSuspendResume","CanHandleSessionChange","ExitCode","StartName","SiteName","PathName","PagedMemorySize","PeakPagedMemorySize","PrivateMemorySize","PeakVirtualMemorySize","PeakWorkingSet","VirtualMemorySize","WorkingSet","StartTime"
"AJRouter","AllJoyn Router Service","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"ALG","Application Layer Gateway Service","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"AppIDSvc","Application Identity","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"Appinfo","Application Information","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"AppMgmt","Application Management","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"AppReadiness","App Readiness","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"AppVClient","Microsoft App-V Client","Stopped","Win32OwnProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Win32OwnProcess, Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","True","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"Audiosrv","Windows Audio","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Win32ShareProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"BFE","Base Filtering Engine","Running","Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"BITS","Background Intelligent Transfer Service","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"bthserv","Bluetooth Support Service","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"camsvc","Capability Access Manager Service","Running","Win32OwnProcess, Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","True","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"CaptureService_374b7","CaptureService_374b7","Stopped","224","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"cbdhsvc_374b7","Clipboard User Service_374b7","Running","240","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"CDPSvc","Connected Devices Platform Service","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"CDPUserSvc_374b7","Connected Devices Platform User Service_374b7","Running","240","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"CertPropSvc","Certificate Propagation","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"ClipSVC","Client License Service (ClipSVC)","Running","Win32OwnProcess, Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","True","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"COMSysApp","COM+ System Application","Running","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"ConsentUxUserSvc_374b7","ConsentUX User Service_374b7","Stopped","224","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"CoreMessagingRegistrar","CoreMessaging","Running","Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"CredentialEnrollmentManagerUserSvc_374b7","CredentialEnrollmentManagerUserSvc_374b7","Stopped","208","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"CryptSvc","Cryptographic Services","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","True","True",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"CscService","Offline Files","Stopped","Win32ShareProcess","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"DcomLaunch","DCOM Server Process Launcher","Running","Win32ShareProcess","Automatic",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"defragsvc","Optimize drives","Stopped","Win32OwnProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"DeviceAssociationBrokerSvc_374b7","DeviceAssociationBroker_374b7","Stopped","224","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"DeviceAssociationService","Device Association Service","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"DeviceInstall","Device Install Service","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"DevicePickerUserSvc_374b7","DevicePicker_374b7","Stopped","224","Disabled",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"DevicesFlowUserSvc_374b7","DevicesFlow_374b7","Stopped","224","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Win32ShareProcess","Manual",,,"System.ServiceProcess.ServiceController[]","System.ServiceProcess.ServiceController[]",".","False","False","False",,"System.ServiceProcess.ServiceController[]",,,,,,,,,,,,,,,,
